OverallQual,2ndFlrSF,1stFlrSF,GarageArea,BsmtFinSF1,LotArea,MasVnrArea,OpenPorchSF,WoodDeckSF,YearRemodAdd,BsmtUnfSF,YearBuilt,GarageYrBlt
7,854,856,548,706,8450,196.0,61,0,2003,150,2003,2003.0
6,0,1262,460,978,9600,0.0,0,298,1976,284,1976,1976.0
7,866,920,608,486,11250,162.0,42,0,2002,434,2001,2001.0
7,756,961,642,216,9550,0.0,35,0,1970,540,1915,1998.0
8,1053,1145,836,655,14260,350.0,84,192,2000,490,2000,2000.0
5,566,796,480,732,14115,0.0,30,40,1995,64,1993,1993.0
8,0,1694,636,1369,10084,186.0,57,255,2005,317,2004,2004.0
7,983,1107,484,859,10382,240.0,204,235,1973,216,1973,1973.0
7,752,1022,468,0,6120,0.0,0,90,1950,952,1931,1931.0
5,0,1077,205,851,7420,0.0,4,0,1950,140,1939,1939.0
5,0,1040,384,906,11200,0.0,0,0,1965,134,1965,1965.0
9,1142,1182,736,998,11924,286.0,21,147,2006,177,2005,2005.0
5,0,912,352,737,12968,0.0,0,140,1962,175,1962,1962.0
7,0,1494,840,0,10652,306.0,33,160,2007,1494,2006,2006.0
6,0,1253,352,733,10920,212.0,213,0,1960,520,1960,1960.0
7,0,854,576,0,6120,0.0,112,48,2001,832,1929,1991.0
6,0,1004,480,578,11241,180.0,0,0,1970,426,1970,1970.0
4,0,1296,516,0,10791,0.0,0,0,1967,0,1967,1967.0
5,0,1114,576,646,13695,0.0,102,0,2004,468,2004,2004.0
5,0,1339,294,504,7560,0.0,0,0,1965,525,1958,1958.0
8,1218,1158,853,0,14215,380.0,154,240,2006,1158,2005,2005.0
7,0,1108,280,0,7449,0.0,0,0,1950,637,1930,1930.0
8,0,1795,534,0,9742,281.0,159,171,2002,1777,2002,2002.0
5,0,1060,572,840,4224,0.0,110,100,1976,200,1976,1976.0
5,0,1060,270,188,8246,0.0,90,406,2001,204,1968,1968.0
8,0,1600,890,0,14230,640.0,56,0,2007,1566,2007,2007.0
5,0,900,576,234,7200,0.0,32,222,2000,180,1951,2005.0
8,0,1704,772,1218,11478,200.0,50,0,2008,486,2007,2008.0
5,0,1600,319,1277,16321,0.0,258,288,1997,207,1957,1957.0
4,0,520,240,0,6324,0.0,0,49,1950,520,1927,1920.0
4,668,649,250,0,8500,0.0,54,0,1950,649,1920,1920.0
5,0,1228,271,0,8544,0.0,65,0,2006,1228,1966,1966.0
8,0,1234,484,0,11049,0.0,30,0,2007,1234,2007,2007.0
5,0,1700,447,1018,10552,0.0,38,0,1959,380,1959,1959.0
9,0,1561,556,1153,7313,246.0,47,203,2005,408,2005,2005.0
8,1320,1132,691,0,13418,132.0,32,113,2005,1117,2004,2004.0
5,0,1097,672,0,10859,0.0,64,392,1995,1097,1994,1995.0
5,0,1297,498,1213,8532,650.0,0,0,1990,84,1954,1954.0
5,0,1057,246,731,7922,0.0,52,0,2007,326,1953,1953.0
4,0,1152,0,0,6040,0.0,0,0,1955,0,1955,1980.0
6,0,1324,440,643,8658,101.0,138,0,1965,445,1965,1965.0
5,0,1328,308,967,16905,0.0,104,0,1959,383,1959,1959.0
5,0,884,504,747,9180,0.0,0,240,1983,0,1983,1983.0
5,0,938,308,280,9200,0.0,0,145,1980,167,1975,1977.0
5,0,1150,300,179,7945,0.0,0,0,1959,465,1959,1959.0
9,0,1752,576,456,7658,412.0,82,196,2005,1296,2005,2005.0
7,631,1518,670,1351,12822,0.0,43,168,2003,83,2003,2003.0
8,0,1656,826,24,11096,0.0,146,0,2006,1632,2006,2006.0
4,716,736,0,0,4456,0.0,0,0,2008,736,1920,1980.0
5,0,955,386,763,7742,0.0,0,0,1966,192,1966,1966.0
6,676,794,388,182,13869,0.0,75,0,1997,612,1997,1997.0
6,0,816,528,0,6240,0.0,0,112,1950,816,1934,1985.0
5,0,816,516,104,8472,0.0,0,106,1963,0,1963,1963.0
9,0,1842,894,1810,50271,0.0,72,857,1987,32,1981,1981.0
5,0,1360,572,384,7134,0.0,50,0,1955,0,1955,1962.0
6,0,1425,576,490,10175,272.0,0,0,1964,935,1964,1964.0
8,756,983,480,649,2645,456.0,0,115,2000,321,1999,1999.0
7,860,860,565,0,11645,0.0,70,0,2004,860,2004,2004.0
10,1519,1426,641,0,13682,1031.0,0,192,2006,1410,2006,2006.0
5,0,780,352,632,7200,0.0,0,196,1972,148,1972,1973.0
6,0,1158,576,941,13072,0.0,50,0,2004,217,2004,2006.0
5,530,581,288,0,7200,0.0,0,0,1996,530,1920,1935.0
8,0,1370,484,24,6442,178.0,49,120,2006,1346,2006,2006.0
7,808,902,480,0,10300,0.0,11,12,1950,576,1921,1990.0
7,977,1057,645,739,9375,573.0,36,576,1998,318,1997,1998.0
8,1330,1143,852,0,9591,344.0,151,192,2005,1143,2004,2004.0
7,0,2207,576,912,19900,287.0,0,301,1989,1035,1970,1970.0
7,0,1479,558,1013,10665,167.0,29,144,2003,440,2003,2003.0
4,0,747,220,0,4608,0.0,0,0,1950,747,1945,1945.0
7,983,1304,667,603,15593,0.0,21,0,1953,701,1953,1953.0
7,0,2223,516,1880,13651,1115.0,0,300,1973,343,1973,1973.0
4,0,845,360,565,7599,0.0,0,0,2006,280,1982,1987.0
7,833,885,427,0,10141,40.0,94,0,1998,832,1998,1998.0
5,0,1086,490,320,10200,104.0,0,0,2003,404,1954,1989.0
3,765,840,379,0,5790,0.0,0,0,1950,840,1915,1915.0
4,462,526,297,462,1596,0.0,101,120,1973,0,1973,1973.0
4,0,952,283,228,8475,0.0,0,0,1956,724,1956,1956.0
5,213,1072,240,336,8635,0.0,0,0,2001,295,1948,1948.0
4,0,1768,0,0,10778,0.0,0,0,1968,1768,1968,1980.0
5,548,682,440,0,10440,0.0,0,74,1981,440,1910,1966.0
6,960,1182,509,448,13000,576.0,72,0,1968,448,1968,1968.0
6,0,1337,405,1201,4500,443.0,199,0,1998,36,1998,1998.0
8,0,1563,758,33,10206,468.0,99,144,2007,1530,2007,2007.0
5,0,1065,461,0,8892,66.0,0,74,1960,1065,1960,1974.0
7,670,804,400,0,8530,22.0,72,120,1996,384,1995,1995.0
8,1116,1301,462,0,16059,284.0,82,127,1992,1288,1991,1991.0
6,876,684,400,0,11911,0.0,38,100,2005,684,2005,2005.0
6,612,612,528,0,3951,76.0,234,0,2009,612,2009,2009.0
3,0,1013,0,0,8470,0.0,0,0,1982,1013,1915,1980.0
4,0,990,0,588,8070,0.0,0,0,1995,402,1994,1980.0
4,0,1040,420,0,7200,0.0,29,0,1950,0,1950,1950.0
